address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"3294 Braeburn Cir, Ann Arbor, MI",42.234661,-83.708046,1,range_interpolation,3294,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2550 ARROWWOOD TRL, Ann Arbor, MI",42.308755,-83.731685,1,range_interpolation,2550,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 6C, Ann Arbor, MI",42.278061,-83.742415,1,rooftop,555,"E William St 6C",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2472 LAURELWOOD CIR, Ann Arbor, MI",42.232752,-83.711434,1,range_interpolation,2472,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2235 Shadowood Dr, Ann Arbor, MI",42.231814,-83.713933,1,range_interpolation,2235,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"584 LANDINGS BLV, Ann Arbor, MI",42.290228,-83.794681,1,range_interpolation,584,"Landings Blvd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 LONG SHORE DR, Ann Arbor, MI",42.29705,-83.739984,1,rooftop,1600,"Long Shore Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"1521 GENEVA RD, Ann Arbor, MI",42.262381,-83.781409,1,range_interpolation,1521,"Geneva Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2815 ARROWWOOD TRL, Ann Arbor, MI",42.30723,-83.72949,1,range_interpolation,2815,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2771 BRAEBURN CIR, Ann Arbor, MI",42.232175,-83.708166,1,range_interpolation,2771,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 11A, Ann Arbor, MI",42.278059,-83.742578,1,rooftop,555,"E William St 11A",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2621 2627 Pittsfield Blvd, Ann Arbor, MI",42.249182,-83.692708,1,range_interpolation,2627,"Pittsfield Blvd",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2350 JONATHAN CT, Ann Arbor, MI",42.231075,-83.710461,1,range_interpolation,2350,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2424 LAURELWOOD CIR, Ann Arbor, MI",42.232431,-83.712807,1,range_interpolation,2424,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3182 BRAEBURN CIR, Ann Arbor, MI",42.234614,-83.708413,1,range_interpolation,3182,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2641 Arrowwood Trl, Ann Arbor, MI",42.30855,-83.73047,1,range_interpolation,2641,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2508 Arrowwood Trl, Ann Arbor, MI",42.308757,-83.732246,1,range_interpolation,2508,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3126 3136 Wolverine Dr, Ann Arbor, MI",42.237031,-83.697663,0.9,range_interpolation,3126,"Wolverine Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3503 Braeburn Cir, Ann Arbor, MI",42.23103,-83.706303,1,range_interpolation,3503,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2519 PACKARD ST, Ann Arbor, MI",42.248924,-83.720889,1,range_interpolation,2519,"Packard St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2239 HEMLOCK CT, Ann Arbor, MI",42.232331,-83.710334,1,range_interpolation,2239,"Hemlock Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2458 ARROWWOOD TRL, Ann Arbor, MI",42.308362,-83.732598,1,range_interpolation,2458,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 18I, Ann Arbor, MI",42.277975,-83.742331,1,rooftop,555,"E William St 18I",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
