address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2238 DEXTER AVE","Ann Arbor",MI,42.285278,-83.776265,1,rooftop,2238,"Dexter Ave",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
CR14-0038,"Ann Arbor",MI,42.323965,-83.712673,0.6,street_center,,"M 14",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"715 N MAPLE RD","Ann Arbor",MI,42.287353,-83.780666,1,range_interpolation,715,"N Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2236 DEXTER AV","Ann Arbor",MI,42.285222,-83.77663,1,rooftop,2236,"Dexter Ave",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"2489 LAURELWOOD CIR","Ann Arbor",MI,42.233137,-83.711637,1,range_interpolation,2489,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1549 PINE VALLEY BLV","Ann Arbor",MI,42.251812,-83.724064,0.8,nearest_rooftop_match,1541,"Pine Valley Blv",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"630 N MAIN ST","Ann Arbor",MI,42.287259,-83.747599,1,rooftop,630,"N Main St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"2735 SEQUOIA PKY","Ann Arbor",MI,42.292359,-83.785816,1,rooftop,2735,"Sequoia Pkwy",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Washtenaw
"555 E WILLIAM ST 20G","Ann Arbor",MI,42.277977,-83.742168,1,rooftop,555,"E William St 20G",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"339 SAshley St","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2190 ANN ARBOR-SALINE RD","Ann Arbor",MI,42.254548,-83.753408,1,rooftop,2190,"Ann Arbor-saline Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"555 E WILLIAM ST 13H","Ann Arbor",MI,42.277976,-83.74225,1,rooftop,555,"E William St 13H",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"737 N MAPLE RD","Ann Arbor",MI,42.287604,-83.780673,1,range_interpolation,737,"N Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"275 HARBOR WAY","Ann Arbor",MI,42.248234,-83.748491,1,range_interpolation,275,"Harbor Way",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"1531 PACKARD ST 2","Ann Arbor",MI,42.262865,-83.731488,1,rooftop,1531,"Packard St 2",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"311 E MADISON ST","Ann Arbor",MI,42.274325,-83.745877,1,rooftop,311,"E Madison St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"2242 DEXTER AVE","Ann Arbor",MI,42.285751,-83.775796,1,rooftop,2242,"Dexter Ave",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"2219 Shadowood Dr","Ann Arbor",MI,42.231811,-83.71388,1,range_interpolation,2219,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 13F","Ann Arbor",MI,42.278064,-83.74217,1,rooftop,555,"E William St 13F",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1102 MAIDEN LANE CT","Ann Arbor",MI,42.288101,-83.733239,1,rooftop,1102,"Maiden Lane Ct",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"555 E WILLIAM ST 2A","Ann Arbor",MI,42.278059,-83.742578,1,rooftop,555,"E William St 2A",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"507 N FIFTH AV","Ann Arbor",MI,42.285152,-83.74628,1,rooftop,507,"N 5th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"611 HOWLEY CT","Ann Arbor",MI,42.290694,-83.740775,1,range_interpolation,611,"Howley Ct",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"1050 WALL ST 5C","Ann Arbor",MI,42.287201,-83.73475,1,rooftop,1050,"Wall St",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"3030 FERNWOOD AV","Ann Arbor",MI,42.24425,-83.693977,1,range_interpolation,3030,"Fernwood Ave",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"202 W WILLIAM ST","Ann Arbor",MI,42.278129,-83.750119,1,rooftop,202,"W William St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"322 S DIVISION ST","Ann Arbor",MI,42.278695,-83.744938,1,rooftop,322,"S Division St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"2674 S MAIN ST","Ann Arbor",MI,42.248493,-83.749539,1,range_interpolation,2674,"S Main St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2745 WINDWOOD DR","Ann Arbor",MI,42.318533,-83.707302,0.9,range_interpolation,2745,"Windwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2269 SHADOWWOOD DR","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"1855 FRANKLIN CT N","Ann Arbor",MI,42.298534,-83.779316,1,rooftop,1855,"N Franklin Ct",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"808 MONROE ST","Ann Arbor",MI,42.273133,-83.738884,1,rooftop,808,"Monroe St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"2240 DEXTER AVE","Ann Arbor",MI,42.285322,-83.775907,1,rooftop,2240,"Dexter Ave",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"1106 MAIDEN LANE CT","Ann Arbor",MI,42.288424,-83.732849,1,rooftop,1106,"Maiden Lane Ct",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"2268 Shadowood Dr","Ann Arbor",MI,42.232036,-83.714379,1,range_interpolation,2268,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1831 LAKE LILA DR","Ann Arbor",MI,42.299331,-83.717115,1,range_interpolation,1831,"Lake Lila Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2311 LANCASHIRE DR","Ann Arbor",MI,42.310086,-83.71689,1,range_interpolation,2311,"Lancashire Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3055 WHISPERWOOD DR","Ann Arbor",MI,42.316473,-83.702844,1,range_interpolation,3055,"Whisperwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"1859 SHIRLEY LN","Ann Arbor",MI,42.300957,-83.719379,1,range_interpolation,1859,"Shirley Ln",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2931 EWhittier Ct","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 16A","Ann Arbor",MI,42.278059,-83.742578,1,rooftop,555,"E William St 16A",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"820 S MAPLE RD","Ann Arbor",MI,42.271933,-83.780135,1,range_interpolation,820,"S Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2225 SHADOWWOOD DR","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
