address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2788 BRAEBURN CIR","Ann Arbor",MI,42.234637,-83.708308,1,range_interpolation,2788,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2679 BRAEBURN CIR","Ann Arbor",MI,42.231675,-83.707456,1,range_interpolation,2679,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3274 Braeburn Cir","Ann Arbor",MI,42.234659,-83.708111,1,range_interpolation,3274,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2528 Arrowwood Trl","Ann Arbor",MI,42.308803,-83.731994,1,range_interpolation,2528,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2330 ARROWWOOD TRL","Ann Arbor",MI,42.307451,-83.734558,1,range_interpolation,2330,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2387 Arrowwood Trl","Ann Arbor",MI,42.307929,-83.733685,1,range_interpolation,2387,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3017 Braeburn Cir","Ann Arbor",MI,42.233255,-83.709128,1,range_interpolation,3017,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2376 ARROWWOOD TRL","Ann Arbor",MI,42.307618,-83.733633,1,range_interpolation,2376,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2503 BRAEBURN CIR","Ann Arbor",MI,42.231002,-83.706602,1,range_interpolation,2503,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2635 Arrowwood Trl","Ann Arbor",MI,42.308538,-83.730548,1,range_interpolation,2635,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3241 Braeburn Cir","Ann Arbor",MI,42.234657,-83.708219,0.9,range_interpolation,3241,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3382 Braeburn Cir","Ann Arbor",MI,42.233656,-83.708817,1,range_interpolation,3382,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3277 BRAEBURN CIR","Ann Arbor",MI,42.234659,-83.708101,0.9,range_interpolation,3277,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2913 BRAEBURN CIR","Ann Arbor",MI,42.233267,-83.709129,1,range_interpolation,2913,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3385 BRAEBURN CIR","Ann Arbor",MI,42.233676,-83.708815,0.9,range_interpolation,3385,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2795 Braeburn Cir","Ann Arbor",MI,42.232282,-83.708338,1,range_interpolation,2795,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3326 Braeburn Cir","Ann Arbor",MI,42.233301,-83.70883,1,range_interpolation,3326,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3133 BRAEBURN CIR","Ann Arbor",MI,42.234138,-83.709046,1,range_interpolation,3133,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2805 BRAEBURN CIR","Ann Arbor",MI,42.232597,-83.708413,1,range_interpolation,2805,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2617 Braeburn Cir","Ann Arbor",MI,42.234404,-83.708654,0.9,range_interpolation,2617,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2819 BRAEBURN CIR","Ann Arbor",MI,42.232425,-83.708603,1,range_interpolation,2819,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2972 Braeburn Cir","Ann Arbor",MI,42.234085,-83.709054,0.9,range_interpolation,2972,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2679 Arrowwood Trl","Ann Arbor",MI,42.308781,-83.729876,1,range_interpolation,2679,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2328 Arrowwood Trl","Ann Arbor",MI,42.307451,-83.734583,1,range_interpolation,2328,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2876 Braeburn Cir","Ann Arbor",MI,42.23466,-83.70809,1,range_interpolation,2876,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2632 ARROWWOOD TRL","Ann Arbor",MI,42.308248,-83.730469,1,range_interpolation,2632,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3262 Braeburn Cir","Ann Arbor",MI,42.234658,-83.70815,1,range_interpolation,3262,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3517 Braeburn Cir","Ann Arbor",MI,42.230906,-83.706298,1,range_interpolation,3517,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
