"address","city","state"
"2238 DEXTER AVE","Ann Arbor","MI"
"CR14-0038","Ann Arbor","MI"
"715 N MAPLE RD","Ann Arbor","MI"
"2236 DEXTER AV","Ann Arbor","MI"
"2489 LAURELWOOD CIR","Ann Arbor","MI"
"1549 PINE VALLEY BLV","Ann Arbor","MI"
"630 N MAIN ST","Ann Arbor","MI"
"2735 SEQUOIA PKY","Ann Arbor","MI"
"555 E WILLIAM ST 20G","Ann Arbor","MI"
"339 SAshley St","Ann Arbor","MI"
"2190 ANN ARBOR-SALINE RD","Ann Arbor","MI"
"555 E WILLIAM ST 13H","Ann Arbor","MI"
"737 N MAPLE RD","Ann Arbor","MI"
"275 HARBOR WAY","Ann Arbor","MI"
"1531 PACKARD ST 2","Ann Arbor","MI"
"311 E MADISON ST","Ann Arbor","MI"
"2242 DEXTER AVE","Ann Arbor","MI"
"2219 Shadowood Dr","Ann Arbor","MI"
"555 E WILLIAM ST 13F","Ann Arbor","MI"
"1102 MAIDEN LANE CT","Ann Arbor","MI"
"555 E WILLIAM ST 2A","Ann Arbor","MI"
"507 N FIFTH AV","Ann Arbor","MI"
"611 HOWLEY CT","Ann Arbor","MI"
"1050 WALL ST 5C","Ann Arbor","MI"
"3030 FERNWOOD AV","Ann Arbor","MI"
"202 W WILLIAM ST","Ann Arbor","MI"
"322 S DIVISION ST","Ann Arbor","MI"
"2674 S MAIN ST","Ann Arbor","MI"
"2745 WINDWOOD DR","Ann Arbor","MI"
"2269 SHADOWWOOD DR","Ann Arbor","MI"
"1855 FRANKLIN CT N","Ann Arbor","MI"
"808 MONROE ST","Ann Arbor","MI"
"2240 DEXTER AVE","Ann Arbor","MI"
"1106 MAIDEN LANE CT","Ann Arbor","MI"
"2268 Shadowood Dr","Ann Arbor","MI"
"1831 LAKE LILA DR","Ann Arbor","MI"
"2311 LANCASHIRE DR","Ann Arbor","MI"
"3055 WHISPERWOOD DR","Ann Arbor","MI"
"1859 SHIRLEY LN","Ann Arbor","MI"
"2931 EWhittier Ct","Ann Arbor","MI"
"555 E WILLIAM ST 16A","Ann Arbor","MI"
"820 S MAPLE RD","Ann Arbor","MI"
"2225 SHADOWWOOD DR","Ann Arbor","MI"
"3010 FERNWOOD AVE","Ann Arbor","MI"
"1721 BROADVIEW LN","Ann Arbor","MI"
"163 EDENWOOD DR","Ann Arbor","MI"
"549 LONG SHORE DR A","Ann Arbor","MI"
"2492 LAURELWOOD CIR","Ann Arbor","MI"
"555 E WILLIAM ST 3A","Ann Arbor","MI"
"555 E WILLIAM ST 12D","Ann Arbor","MI"
"2393 JONATHAN CT","Ann Arbor","MI"
"3387 WILLIAMSBURG DR","Ann Arbor","MI"
"339 THIRD ST","Ann Arbor","MI"
"555 E WILLIAM ST 18B","Ann Arbor","MI"
"1731 BROADVIEW LN","Ann Arbor","MI"
"316 N STATE ST","Ann Arbor","MI"
"CR11-0181","Ann Arbor","MI"
"2725 BURTON RD","Ann Arbor","MI"
"555 E WILLIAM ST 22L","Ann Arbor","MI"
"323 N MAIN ST","Ann Arbor","MI"
"555 E WILLIAM ST 9G","Ann Arbor","MI"
"3024 WOLVERINE DR","Ann Arbor","MI"
"1421 NATALIE LN","Ann Arbor","MI"
"1825 PAULINE BLVD","Ann Arbor","MI"
"3031 N SPURWAY DR","Ann Arbor","MI"
"2357 SANDALWOOD CIR","Ann Arbor","MI"
"408 WSummit St","Ann Arbor","MI"
"2248 DEXTER AV","Ann Arbor","MI"
"2004 MANCHESTER RD","Ann Arbor","MI"
"401 WAYMARKET DR","Ann Arbor","MI"
"2393 SANDALWOOD CIR","Ann Arbor","MI"
"2344 LESLIE CIR","Ann Arbor","MI"
"2310 Shadowood Dr","Ann Arbor","MI"
"3705 GREEN BRIER BLVD","Ann Arbor","MI"
"555 E WILLIAM ST 19D","Ann Arbor","MI"
"3049 VALENCIA CIR","Ann Arbor","MI"
"2966 HUNLEY DR","Ann Arbor","MI"
"2180 ST FRANCIS DR","Ann Arbor","MI"
"120 LAKE VILLAGE DR","Ann Arbor","MI"
"2499 SANDALWOOD CIR","Ann Arbor","MI"
"3611 GREEN BRIER BLV","Ann Arbor","MI"
"3127 LAKEHAVEN DR","Ann Arbor","MI"
"106 N FOURTH AV","Ann Arbor","MI"
"1049 ISLAND DRIVE CT","Ann Arbor","MI"
"402 S FIFTH AV","Ann Arbor","MI"
"1813 WILLOWTREE LN","Ann Arbor","MI"
"555 E WILLIAM ST 25G","Ann Arbor","MI"
"555 E WILLIAM ST 22G","Ann Arbor","MI"
"555 E WILLIAM ST 14J","Ann Arbor","MI"
"443 S DIVISION ST","Ann Arbor","MI"
"2335 SANDALWOOD CIR","Ann Arbor","MI"
"439 SAshley St","Ann Arbor","MI"
"880 S MAPLE RD","Ann Arbor","MI"
"2250 DEXTER AV","Ann Arbor","MI"
"500 E WASHINGTON ST","Ann Arbor","MI"
"555 E WILLIAM ST 2F","Ann Arbor","MI"
"1321 NATALIE LN","Ann Arbor","MI"
"709 N MAPLE RD","Ann Arbor","MI"
"3170 Williamsburg Dr","Ann Arbor","MI"
"1415 WStadium Blvd","Ann Arbor","MI"
"2004 MEDFORD RD","Ann Arbor","MI"
"2765 WINDWOOD DR","Ann Arbor","MI"
"217 N FIFTH AV","Ann Arbor","MI"
"721 N MAPLE RD","Ann Arbor","MI"
"CR14-0049","Ann Arbor","MI"
"555 E WILLIAM ST 3I","Ann Arbor","MI"
"645 WAYMARKET DR","Ann Arbor","MI"
"431 S FIRST ST","Ann Arbor","MI"
"2980 CASCADE DR","Ann Arbor","MI"
"3065 WHISPERWOOD DR","Ann Arbor","MI"
"555 E WILLIAM ST 26J","Ann Arbor","MI"
"1502 JONES DR","Ann Arbor","MI"
"225 SUNSET RD","Ann Arbor","MI"
"549 S FIFTH AV","Ann Arbor","MI"
"917 PACKARD ST","Ann Arbor","MI"
"214 SMain St","Ann Arbor","MI"
"2339 SHADOWOOD DR","Ann Arbor","MI"
"2384 LESLIE CIR","Ann Arbor","MI"
"555 E WILLIAM ST 16B","Ann Arbor","MI"
"1855 SHIRLEY LN","Ann Arbor","MI"
"2236 FULLER CT","Ann Arbor","MI"
"702 NFifth Ave","Ann Arbor","MI"
"712 N MAIN ST","Ann Arbor","MI"
"3135 S STATE ST","Ann Arbor","MI"
"555 E WILLIAM ST 17J","Ann Arbor","MI"
"3164 Williamsburg Dr","Ann Arbor","MI"
"224 SUNSET RD","Ann Arbor","MI"
"555 E WILLIAM ST 15K","Ann Arbor","MI"
"419 S FIFTH AV","Ann Arbor","MI"
"555 E WILLIAM ST 13E","Ann Arbor","MI"
"1021 ISLAND DRIVE CT","Ann Arbor","MI"
"635 S FIRST ST","Ann Arbor","MI"
"3025 WHISPERWOOD DR","Ann Arbor","MI"
"6 PARK VIEW PL","Ann Arbor","MI"
"1500 PAULINE BLVD A","Ann Arbor","MI"
"CR19-0124","Ann Arbor","MI"
"3000 WASHTENAW AVE","Ann Arbor","MI"
"2738 HIKONE RD","Ann Arbor","MI"
"2345 LESLIE CIR","Ann Arbor","MI"
"555 E WILLIAM ST 11F","Ann Arbor","MI"
"931 E ANN ST","Ann Arbor","MI"
"3010 WHISPERWOOD DR","Ann Arbor","MI"
"1930 W LIBERTY ST","Ann Arbor","MI"
"3069 Williamsburg Dr","Ann Arbor","MI"
"3011 Williamsburg Dr","Ann Arbor","MI"
"555 E WILLIAM ST 5I","Ann Arbor","MI"
"2467 SANDALWOOD CIR","Ann Arbor","MI"
"3338 WILLIAMSBURG DR","Ann Arbor","MI"
"612 CHURCH ST","Ann Arbor","MI"
"234 CHAPIN ST","Ann Arbor","MI"
"1421 WLiberty St","Ann Arbor","MI"
"555 E WILLIAM ST 4C","Ann Arbor","MI"
"3060 WHISPERWOOD DR","Ann Arbor","MI"
"555 E WILLIAM ST 8B","Ann Arbor","MI"
"3045 WHISPERWOOD DR","Ann Arbor","MI"
"555 E WILLIAM ST 20J","Ann Arbor","MI"
"3009 Williamsburg Dr","Ann Arbor","MI"
"525 LONG SHORE DR B","Ann Arbor","MI"
"2274 SHADOWOOD DR","Ann Arbor","MI"
"2755 WINDWOOD DR","Ann Arbor","MI"
"1516 PINE VALLEY BLV","Ann Arbor","MI"
"213 N SEVENTH ST","Ann Arbor","MI"
"942 N MAIN ST","Ann Arbor","MI"
"2263 Shadowood Dr","Ann Arbor","MI"
"1307 WASHTENAW AVE","Ann Arbor","MI"
"425 S FIFTH AVE","Ann Arbor","MI"
"2365 LESLIE CIR","Ann Arbor","MI"
"2295 SHADOWOOD DR","Ann Arbor","MI"
"915 MAIDEN LN","Ann Arbor","MI"
"1265 JEWETT AV","Ann Arbor","MI"
"3030 WHISPERWOOD DR","Ann Arbor","MI"
"305 EAnn St","Ann Arbor","MI"
"555 E WILLIAM ST 19C","Ann Arbor","MI"
"220 LYNDEN GLEN DR","Ann Arbor","MI"
"1257 N MAIN ST","Ann Arbor","MI"
"555 E WILLIAM ST 23H","Ann Arbor","MI"
"533 539 Long Shore Dr","Ann Arbor","MI"
"545 LONG SHORE DR A","Ann Arbor","MI"
"300 WINDY CREST DR","Ann Arbor","MI"
"735 N MAPLE RD","Ann Arbor","MI"
"2344 Shadowood Dr","Ann Arbor","MI"
"311 E LIBERTY ST","Ann Arbor","MI"
"2964 HUNLEY DR","Ann Arbor","MI"
"208 W HURON ST","Ann Arbor","MI"
"555 E WILLIAM ST 19H","Ann Arbor","MI"
"1318 WILMOT ST","Ann Arbor","MI"
"3003 SEQUOIA PKY","Ann Arbor","MI"
"2249 Shadowood Dr","Ann Arbor","MI"
"1000 W HURON ST A","Ann Arbor","MI"
"2401 SANDALWOOD CIR","Ann Arbor","MI"
"555 E WILLIAM ST 9C","Ann Arbor","MI"
"3083 PLATT RD","Ann Arbor","MI"
"555 E WILLIAM ST 5D","Ann Arbor","MI"
"2395 Jonathan Ct","Ann Arbor","MI"
"2321 SHADOWOOD DR","Ann Arbor","MI"
"2015 MEDFORD RD","Ann Arbor","MI"
"2750 HIKONE RD","Ann Arbor","MI"
"1620 CAMBRIDGE RD","Ann Arbor","MI"
"150 LAKE VILLAGE DR","Ann Arbor","MI"
"555 E WILLIAM ST 16F","Ann Arbor","MI"
"3805 GREEN BRIER BLVD","Ann Arbor","MI"
"555 E WILLIAM ST 14G","Ann Arbor","MI"
"614 SFirst St","Ann Arbor","MI"
"212 E WASHINGTON ST 1","Ann Arbor","MI"
"378 WAY MARKET DR","Ann Arbor","MI"
"275 LAKE VILLAGE DR","Ann Arbor","MI"
"3059 Williamsburg Dr","Ann Arbor","MI"
"408 N FIRST ST","Ann Arbor","MI"
"3675 GREEN BRIER BLVD","Ann Arbor","MI"
"2473 SANDALWOOD CIR","Ann Arbor","MI"
"2481 SANDALWOOD CIR","Ann Arbor","MI"
"555 E WILLIAM ST 11G","Ann Arbor","MI"
"2403 PACKARD ST 35D","Ann Arbor","MI"
"555 E WILLIAM ST 3G","Ann Arbor","MI"
"2495 SANDALWOOD CIR","Ann Arbor","MI"
"840 S MAPLE RD","Ann Arbor","MI"
"2795 WINDWOOD DR","Ann Arbor","MI"
"555 E WILLIAM ST 17B","Ann Arbor","MI"
"490 VILLAGE OAKS CT","Ann Arbor","MI"
"1348 WILMOT CT","Ann Arbor","MI"
"133 HARBOR WAY","Ann Arbor","MI"
"2449 SANDALWOOD CIR","Ann Arbor","MI"
"442 S FOURTH AV","Ann Arbor","MI"
"322 E LIBERTY ST 5","Ann Arbor","MI"
"555 E WILLIAM ST 6H","Ann Arbor","MI"
"1521 S STATE ST","Ann Arbor","MI"
"626 N MAIN ST","Ann Arbor","MI"
"1115 NORMAN PL","Ann Arbor","MI"
"2715 WINDWOOD DR","Ann Arbor","MI"
"320 E LIBERTY ST","Ann Arbor","MI"
"2640 ADRIENNE DR","Ann Arbor","MI"
"733 N MAPLE RD","Ann Arbor","MI"
"555 E WILLIAM ST 25B","Ann Arbor","MI"
"1815 FRANKLIN CT N","Ann Arbor","MI"
"309 PACKARD ST","Ann Arbor","MI"
"555 E WILLIAM ST 2H","Ann Arbor","MI"
"555 E WILLIAM ST 6G","Ann Arbor","MI"
"645 HIDDEN VALLEY CLUB DR","Ann Arbor","MI"
"120 E LIBERTY ST","Ann Arbor","MI"
"3053 LAKEHAVEN CT","Ann Arbor","MI"
"1713 GREEN RD","Ann Arbor","MI"
"725 N MAPLE RD","Ann Arbor","MI"
"1116 1118 Woodlawn Ave","Ann Arbor","MI"
"729 N MAPLE RD","Ann Arbor","MI"
"2300 LESLIE CIR","Ann Arbor","MI"
"2767 PLYMOUTH RD","Ann Arbor","MI"
"718 N MAIN ST","Ann Arbor","MI"
"2008 TRAVER RD","Ann Arbor","MI"
"2450 Laurelwood Cir","Ann Arbor","MI"
"1538 PINE VALLEY BLV","Ann Arbor","MI"
"2705 WINDWOOD DR","Ann Arbor","MI"
"1106 NORMAN PL","Ann Arbor","MI"
"2245 Shadowood Dr","Ann Arbor","MI"
"207 SAshley St","Ann Arbor","MI"
"3455 PLATT RD","Ann Arbor","MI"
"555 E WILLIAM ST 12J","Ann Arbor","MI"
"1114 MAIDEN LANE CT","Ann Arbor","MI"
"1050 WALL ST 1E","Ann Arbor","MI"
"3845 GREEN BRIER BLVD","Ann Arbor","MI"
"2962 HUNLEY DR","Ann Arbor","MI"
"2265 Shadowood Dr","Ann Arbor","MI"
"555 E WILLIAM ST 5F","Ann Arbor","MI"
"555 E WILLIAM ST 8G","Ann Arbor","MI"
"555 E WILLIAM ST 17C","Ann Arbor","MI"
"CR072625","Ann Arbor","MI"
"555 E WILLIAM ST 5H","Ann Arbor","MI"
"2409 PACKARD ST 50E","Ann Arbor","MI"
"2884 EEisenhower Pkwy","Ann Arbor","MI"
"555 E WILLIAM ST 5L","Ann Arbor","MI"
"2269 Hardyke Ct","Ann Arbor","MI"
"3078 WILLIAMSBURG DR","Ann Arbor","MI"
"507 MACK RD","Ann Arbor","MI"
"1863 LAKE LILA DR","Ann Arbor","MI"
"510 MACK RD","Ann Arbor","MI"
"2364 LESLIE CIR","Ann Arbor","MI"
"2270 Shadowood Dr","Ann Arbor","MI"
"555 E WILLIAM ST 24H","Ann Arbor","MI"
"2800 WINDWOOD DR","Ann Arbor","MI"
"3144 CHERRY TREE LA","Ann Arbor","MI"
"707 N MAPLE RD","Ann Arbor","MI"
"1400 SAUNDERS CRS","Ann Arbor","MI"
"517 S FIRST ST","Ann Arbor","MI"
"3017 LAKEHAVEN CT","Ann Arbor","MI"
